bgi(Q,ITR) ----------------------------- 
capacity  load      query     
4    2    1.832217  0.291829  
6    3    1.638019  0.539283  
8    4    1.495396  0.586318  
10   5    1.536665  0.405164  
12   6    1.493773  0.547834  
14   7    1.579430  0.381071  
16   8    1.616968  0.430228  
18   9    1.656568  0.309968  
20   10   1.738347  0.348002  
22   11   1.797978  0.314166  
24   12   1.833440  0.336579  
26   13   1.884282  0.363267  
28   14   1.964477  0.277788  
30   15   2.031398  0.307019  
32   16   2.071711  0.351218  
34   17   2.128181  0.304812  
36   18   2.186665  0.277809  
38   19   2.246391  0.276942  
40   20   2.267578  0.317463  
42   21   2.341638  0.272548  
44   22   2.407218  0.311349  
46   23   2.436335  0.322913  
48   24   2.454916  0.284176  
50   25   2.503729  0.267008  
52   26   2.561884  0.360579  
54   27   2.591391  0.322916  
56   28   2.645666  0.295398  
58   29   2.676774  0.292710  
60   30   2.736452  0.291106  
62   31   2.778189  0.296109  
64   32   2.867854  0.330435  
66   33   2.906556  0.279342  
68   34   2.943640  0.291201  
70   35   2.996267  0.241180  
72   36   3.066936  0.304817  
74   37   3.124147  0.357854  
76   38   3.145413  0.337913  
78   39   3.219833  0.290478  
80   40   3.276807  0.278315  
82   41   3.317041  0.273855  
84   42   3.376240  0.306598  
86   43   3.418896  0.315949  
88   44   3.470350  0.363697  
90   45   3.543025  0.356849  
92   46   3.567994  0.279305  
94   47   3.630702  0.305913  
96   48   3.700599  0.266348  
98   49   3.682100  0.333279  
100  50   3.825210  0.263637  
102  51   3.951188  0.295898  
104  52   3.944611  0.321485  
106  53   4.033361  0.287718  
108  54   4.007792  0.306113  
110  55   4.080562  0.273337  
112  56   4.098810  0.269893  
114  57   4.184407  0.245069  
116  58   4.228533  0.270778  
118  59   4.272271  0.218240  
120  60   4.315306  0.246536  
122  61   4.388891  0.254562  
124  62   4.456624  0.240234  
126  63   4.510523  0.254826  
128  64   4.541862  0.270625  
130  65   4.547213  0.272322  
132  66   4.602304  0.286893  
134  67   4.607624  0.270055  
136  68   4.618093  0.262243  
138  69   4.667698  0.313662  
140  70   4.727277  0.262313  
142  71   4.692670  0.297564  
144  72   4.675828  0.345802  
146  73   4.687525  0.332508  
148  74   4.727417  0.346475  
150  75   4.714131  0.329887  
152  76   4.783999  0.308728  
154  77   4.801448  0.324475  
156  78   4.796568  0.308545  
158  79   4.884750  0.315982  
160  80   4.938462  0.310173  
162  81   4.979535  0.384103  
164  82   4.982822  0.320089  
166  83   5.028336  0.359065  
168  84   5.112522  0.362557  
170  85   5.100938  0.335277  
172  86   5.081241  0.343299  
174  87   5.100958  0.318506  
176  88   5.163308  0.359908  
178  89   5.219003  0.371291  
180  90   5.382962  0.346506  
182  91   5.365950  0.344327  
184  92   5.409769  0.312715  
186  93   5.435962  0.310991  
188  94   5.506002  0.303338  
190  95   5.541301  0.280217  
192  96   5.545936  0.305648  
194  97   5.562491  0.295192  
196  98   5.631360  0.295689  
198  99   5.697633  0.322621  
200  100  5.683871  0.299108  
