lsi(Q,BLK) ----------------------------- 
capacity  load      query     
4    2    6.855231  2.344789  
6    3    6.165892  1.748922  
8    4    5.536340  1.518099  
10   5    5.939593  1.550845  
12   6    5.262618  1.540463  
14   7    5.601220  1.620061  
16   8    5.165931  1.677412  
18   9    5.500543  1.613269  
20   10   5.089140  1.601645  
22   11   5.158933  1.772968  
24   12   5.111315  1.732019  
26   13   5.042876  1.736165  
28   14   5.619697  1.856724  
30   15   5.127859  1.927957  
32   16   5.602337  1.954479  
34   17   5.072766  1.912844  
36   18   5.039212  1.979997  
38   19   5.107924  2.055617  
40   20   5.289186  2.007392  
42   21   5.324972  2.164843  
44   22   5.095519  2.229808  
46   23   5.409497  2.272068  
48   24   5.093473  2.350033  
50   25   5.072382  2.157151  
52   26   5.096525  2.473594  
54   27   5.077503  2.578483  
56   28   5.543821  2.483116  
58   29   5.070209  2.487175  
60   30   4.979823  2.672530  
62   31   5.336962  2.736664  
64   32   5.103959  2.681495  
66   33   5.096650  2.811786  
68   34   5.074413  2.777791  
70   35   5.182242  2.818532  
72   36   5.222641  2.860590  
74   37   5.086422  2.877555  
76   38   5.093278  2.845263  
78   39   5.073390  2.972620  
80   40   5.091667  3.003288  
82   41   5.872859  3.050467  
84   42   5.733206  2.864424  
86   43   4.986527  3.023084  
88   44   5.646366  3.085763  
90   45   4.994471  3.183369  
92   46   5.739227  3.240841  
94   47   5.001810  3.190300  
96   48   4.989852  3.306091  
98   49   5.021868  3.172270  
100  50   5.564635  3.370518  
102  51   5.481605  3.375876  
104  52   4.972185  3.431971  
106  53   4.979915  3.489336  
108  54   5.148618  3.683312  
110  55   5.223043  3.658838  
112  56   5.462901  3.610661  
114  57   5.377128  3.789266  
116  58   5.814753  3.840102  
118  59   5.718355  3.900738  
120  60   5.634782  3.881326  
122  61   5.032304  3.983862  
124  62   5.154771  4.042321  
126  63   4.969706  3.807817  
128  64   5.034306  3.977516  
130  65   5.674915  4.038379  
132  66   5.242274  4.056569  
134  67   5.218190  4.163891  
136  68   5.613657  4.128004  
138  69   4.979930  4.328085  
140  70   5.052835  4.347394  
142  71   4.987928  4.510868  
144  72   5.717205  4.345377  
146  73   4.978965  4.431659  
148  74   5.076621  4.529744  
150  75   5.069644  4.448083  
152  76   4.986312  4.596378  
154  77   4.995547  4.753210  
156  78   5.569125  4.880041  
158  79   5.184656  4.962181  
160  80   5.793511  5.622661  
162  81   5.626823  4.879585  
164  82   5.008386  4.957979  
166  83   5.733340  5.097538  
168  84   5.092441  5.009462  
170  85   4.999157  4.976394  
172  86   5.351425  5.050933  
174  87   5.034808  5.486313  
176  88   5.002700  5.051288  
178  89   5.000121  5.156595  
180  90   5.035918  5.279704  
182  91   5.118010  5.374662  
184  92   5.083242  5.318773  
186  93   5.008884  5.318103  
188  94   5.011159  5.528719  
190  95   4.999220  5.696172  
192  96   5.265898  5.650951  
194  97   5.028070  5.699764  
196  98   5.005098  5.692949  
198  99   4.994185  5.875759  
200  100  4.997559  5.590636  
