bgi(L,ITR) ----------------------------- 
capacity  load      query     
4    2    1.418686  1.297640  
6    3    1.194125  1.653656  
8    4    1.101883  1.575031  
10   5    1.056629  1.742955  
12   6    1.054656  1.441072  
14   7    1.097599  1.447716  
16   8    1.077264  1.816833  
18   9    1.086389  1.388657  
20   10   1.116488  1.554008  
22   11   1.144685  1.433255  
24   12   1.148905  1.495840  
26   13   1.153913  1.560968  
28   14   1.189724  1.464517  
30   15   1.181127  2.053841  
32   16   1.272312  1.318212  
34   17   1.291264  1.538167  
36   18   1.313642  1.264415  
38   19   1.335851  1.821065  
40   20   1.393191  1.747343  
42   21   1.375371  1.541866  
44   22   1.404065  1.437775  
46   23   1.452205  1.844448  
48   24   1.465685  1.522256  
50   25   1.424754  1.790700  
52   26   1.461269  1.667563  
54   27   1.451005  1.866309  
56   28   1.478311  1.638749  
58   29   1.454831  1.866425  
60   30   1.501015  1.408249  
62   31   1.529705  1.515782  
64   32   1.537438  1.719704  
66   33   1.628524  1.551263  
68   34   1.597644  1.371620  
70   35   1.601280  2.150027  
72   36   1.641733  1.661728  
74   37   1.642295  1.656309  
76   38   1.686828  1.542312  
78   39   1.694804  1.714034  
80   40   1.726339  1.669549  
82   41   1.755476  1.718433  
84   42   1.751870  2.010508  
86   43   1.786171  2.181744  
88   44   1.822056  1.764282  
90   45   1.799364  2.281828  
92   46   1.828587  2.267478  
94   47   1.943392  1.866582  
96   48   1.949689  2.278608  
98   49   2.035548  2.084914  
100  50   2.102346  1.642749  
102  51   2.061544  1.617995  
104  52   2.063226  2.044229  
106  53   2.074561  2.079750  
108  54   2.061350  1.795111  
110  55   2.040398  2.025838  
112  56   2.035319  2.108721  
114  57   2.108575  2.411916  
116  58   2.129474  1.980785  
118  59   2.127695  1.870646  
120  60   2.087504  1.804934  
122  61   2.140632  2.119337  
124  62   2.124668  2.167077  
126  63   2.159826  2.173828  
128  64   2.103364  3.302195  
130  65   2.230450  2.181418  
132  66   2.259567  1.753696  
134  67   2.206760  2.583026  
136  68   2.229542  2.635522  
138  69   2.227711  2.101259  
140  70   2.251178  2.137714  
142  71   2.236002  2.363188  
144  72   2.261852  1.996661  
146  73   2.243698  1.855331  
148  74   2.210589  2.182097  
150  75   2.212532  2.122378  
152  76   2.195871  2.377271  
154  77   2.183214  2.293683  
156  78   2.232870  1.890997  
158  79   2.210685  2.610506  
160  80   2.230748  2.223468  
162  81   2.240479  2.364531  
164  82   2.228463  1.866065  
166  83   2.254798  1.919140  
168  84   2.264449  2.282013  
170  85   2.226150  2.617629  
172  86   2.225937  2.604074  
174  87   2.286663  2.311788  
176  88   2.296361  1.936656  
178  89   2.251206  1.853595  
180  90   2.248043  2.163249  
182  91   2.301549  2.056709  
184  92   2.256762  2.138380  
186  93   2.283975  2.070204  
188  94   2.298191  1.974695  
190  95   2.279410  2.489322  
192  96   2.310689  1.818050  
194  97   2.259119  2.781604  
196  98   2.292615  2.549165  
198  99   2.314542  2.456497  
200  100  2.299243  2.939986  
