bgi(L,BLK) ----------------------------- 
capacity  load      query     
4    2    1.443257  0.066185  
6    3    1.406668  0.066444  
8    4    1.442695  0.060195  
10   5    1.376551  0.059631  
12   6    1.523180  0.062035  
14   7    1.453938  0.063125  
16   8    1.352721  0.052075  
18   9    1.262141  0.056078  
20   10   1.279725  0.056669  
22   11   1.266105  0.056992  
24   12   1.290973  0.058205  
26   13   1.221389  0.059761  
28   14   1.235384  0.061690  
30   15   1.238032  0.062298  
32   16   1.246876  0.058733  
34   17   1.233414  0.071159  
36   18   1.259794  0.071022  
38   19   1.245697  0.071540  
40   20   1.262794  0.072221  
42   21   1.237153  0.072419  
44   22   1.235579  0.072979  
46   23   1.228006  0.074225  
48   24   1.205553  0.066832  
50   25   1.197933  0.068459  
52   26   1.192036  0.068513  
54   27   1.176100  0.070686  
56   28   1.182422  0.073707  
58   29   1.231085  0.072309  
60   30   1.257066  0.072421  
62   31   1.211229  0.076932  
64   32   1.208943  0.083828  
66   33   1.255715  0.087259  
68   34   1.240117  0.085434  
70   35   1.205052  0.088314  
72   36   1.207498  0.089382  
74   37   1.210437  0.093022  
76   38   1.213454  0.089756  
78   39   1.199427  0.090885  
80   40   1.196132  0.096269  
82   41   1.171636  0.091532  
84   42   1.170087  0.088218  
86   43   1.180766  0.089020  
88   44   1.175661  0.089278  
90   45   1.278276  0.091826  
92   46   1.306059  0.090625  
94   47   1.234076  0.101617  
96   48   1.362469  0.091241  
98   49   1.272375  0.094511  
100  50   1.156596  0.098891  
102  51   1.141240  0.096701  
104  52   1.122727  0.097969  
106  53   1.127392  0.098131  
108  54   1.132965  0.100571  
110  55   1.120574  0.096180  
112  56   1.128186  0.095943  
114  57   1.131532  0.096145  
116  58   1.138771  0.097887  
118  59   1.137491  0.095010  
120  60   1.134280  0.094244  
122  61   1.140420  0.093075  
124  62   1.143211  0.095699  
126  63   1.167634  0.104490  
128  64   1.146605  0.092175  
130  65   1.134688  0.095691  
132  66   1.135992  0.101813  
134  67   1.130318  0.099033  
136  68   1.125106  0.100966  
138  69   1.120673  0.102613  
140  70   1.120001  0.104837  
142  71   1.118769  0.107414  
144  72   1.119340  0.105991  
146  73   1.129534  0.110911  
148  74   1.131994  0.112422  
150  75   1.132146  0.112956  
152  76   1.109931  0.110260  
154  77   1.108056  0.113908  
156  78   1.114916  0.114409  
158  79   1.141846  0.128222  
160  80   1.157602  0.128293  
162  81   1.155384  0.132331  
164  82   1.152222  0.136172  
166  83   1.156606  0.132686  
168  84   1.153814  0.133721  
170  85   1.150161  0.137450  
172  86   1.154597  0.136157  
174  87   1.154649  0.137000  
176  88   1.152907  0.136151  
178  89   1.165792  0.139312  
180  90   1.149044  0.140580  
182  91   1.158162  0.140932  
184  92   1.145239  0.141795  
186  93   1.137134  0.141306  
188  94   1.142262  0.143443  
190  95   1.139902  0.144358  
192  96   1.147134  0.143658  
194  97   1.141134  0.147317  
196  98   1.144891  0.145919  
198  99   1.135441  0.149115  
200  100  1.122359  0.145919  
