bgi(Q,ITR) ----------------------------- 
capacity  load      query     
4    2    1.772904  0.282153  
6    3    1.507327  0.477647  
8    4    1.427422  0.525902  
10   5    1.440759  0.380220  
12   6    1.444969  0.517922  
14   7    1.509073  0.383954  
16   8    1.614034  0.402698  
18   9    1.599675  0.284238  
20   10   1.699104  0.325680  
22   11   1.721722  0.299669  
24   12   1.777220  0.317572  
26   13   1.824662  0.341068  
28   14   1.926197  0.246629  
30   15   1.973396  0.273917  
32   16   2.030401  0.323216  
34   17   2.091960  0.297482  
36   18   2.162666  0.277622  
38   19   2.219003  0.277569  
40   20   2.257734  0.321688  
42   21   2.319151  0.271265  
44   22   2.381210  0.308082  
46   23   2.398837  0.320201  
48   24   2.441741  0.282932  
50   25   2.499843  0.267647  
52   26   2.535356  0.362347  
54   27   2.571127  0.325451  
56   28   2.618829  0.297702  
58   29   2.646862  0.293325  
60   30   2.712172  0.289951  
62   31   2.741378  0.298923  
64   32   2.824808  0.328186  
66   33   2.880532  0.283041  
68   34   2.915538  0.295441  
70   35   2.989863  0.243695  
72   36   3.052258  0.308897  
74   37   3.081880  0.327073  
76   38   3.094659  0.307684  
78   39   3.178860  0.265097  
80   40   3.239525  0.253654  
82   41   3.277078  0.245893  
84   42   3.337336  0.280570  
86   43   3.410621  0.324597  
88   44   3.473032  0.372393  
90   45   3.547787  0.363304  
92   46   3.563863  0.285499  
94   47   3.637273  0.314443  
96   48   3.687475  0.276304  
98   49   3.706055  0.345007  
100  50   3.793033  0.271263  
102  51   3.839099  0.324013  
104  52   3.868480  0.354132  
106  53   3.978514  0.316488  
108  54   3.956990  0.331141  
110  55   4.029986  0.306495  
112  56   4.053533  0.298434  
114  57   4.110109  0.266555  
116  58   4.153841  0.298571  
118  59   4.215990  0.241501  
120  60   4.236247  0.273006  
122  61   4.308320  0.276268  
124  62   4.399613  0.264014  
126  63   4.421065  0.284067  
128  64   4.449339  0.297341  
130  65   4.462669  0.296505  
132  66   4.533303  0.315250  
134  67   4.512656  0.298193  
136  68   4.551789  0.287153  
138  69   4.595019  0.337694  
140  70   4.622970  0.284799  
142  71   4.652754  0.300009  
144  72   4.661324  0.346775  
146  73   4.682879  0.333312  
148  74   4.714910  0.336107  
150  75   4.724805  0.341619  
152  76   4.789732  0.311305  
154  77   4.789700  0.330528  
156  78   4.809922  0.305597  
158  79   4.864741  0.318545  
160  80   4.931650  0.313886  
162  81   4.967063  0.389749  
164  82   5.043460  0.334299  
166  83   5.092358  0.362022  
168  84   5.079057  0.365611  
170  85   5.117407  0.344640  
172  86   5.106271  0.348990  
174  87   5.112463  0.294584  
176  88   5.379788  0.330674  
178  89   5.269388  0.340151  
180  90   5.286064  0.342829  
182  91   5.415707  0.331844  
184  92   5.518009  0.309098  
186  93   5.332122  0.309960  
188  94   5.418382  0.336401  
190  95   5.490176  0.306827  
192  96   5.488129  0.334718  
194  97   5.545404  0.344530  
196  98   5.636433  0.291724  
198  99   5.742815  0.358515  
200  100  5.613701  0.331480  
