bgi(Q,BLK) ----------------------------- 
capacity  load      query     
4    2    1.378500  0.088468  
6    3    1.320256  0.063838  
8    4    1.335436  0.060972  
10   5    1.288886  0.060291  
12   6    1.245233  0.057786  
14   7    1.255381  0.068838  
16   8    1.324263  0.058898  
18   9    1.233233  0.064725  
20   10   1.208837  0.068652  
22   11   1.153540  0.054658  
24   12   1.176569  0.056812  
26   13   1.145090  0.059245  
28   14   1.159793  0.060818  
30   15   1.166012  0.059680  
32   16   1.186788  0.057622  
34   17   1.187552  0.061288  
36   18   1.137982  0.062755  
38   19   1.158178  0.062802  
40   20   1.142731  0.059514  
42   21   1.238599  0.075638  
44   22   1.273936  0.061758  
46   23   1.102413  0.065125  
48   24   1.117831  0.064133  
50   25   1.109016  0.064913  
52   26   1.123782  0.065948  
54   27   1.090923  0.067291  
56   28   1.087372  0.068424  
58   29   1.102421  0.068913  
60   30   1.091840  0.072180  
62   31   1.099603  0.070592  
64   32   1.116765  0.072306  
66   33   1.128618  0.072876  
68   34   1.127550  0.072093  
70   35   1.084944  0.076400  
72   36   1.082497  0.075982  
74   37   1.086885  0.076476  
76   38   1.079836  0.077376  
78   39   1.085615  0.082095  
80   40   1.081139  0.081133  
82   41   1.085145  0.082659  
84   42   1.087229  0.083199  
86   43   1.090994  0.084301  
88   44   1.094102  0.084769  
90   45   1.096327  0.085872  
92   46   1.083099  0.086500  
94   47   1.083689  0.087286  
96   48   1.077565  0.087135  
98   49   1.070010  0.087937  
100  50   1.062341  0.092868  
102  51   1.064583  0.092560  
104  52   1.058653  0.092708  
106  53   1.061622  0.092563  
108  54   1.053139  0.092834  
110  55   1.070025  0.092576  
112  56   1.074712  0.096555  
114  57   1.056143  0.092969  
116  58   1.055436  0.090903  
118  59   1.061855  0.091283  
120  60   1.057732  0.089290  
122  61   1.062411  0.088325  
124  62   1.064993  0.088858  
126  63   1.072287  0.087715  
128  64   1.066005  0.088261  
130  65   1.061716  0.090882  
132  66   1.054868  0.092375  
134  67   1.053975  0.093341  
136  68   1.050814  0.095516  
138  69   1.046048  0.102613  
140  70   1.046435  0.097982  
142  71   1.043460  0.099339  
144  72   1.043783  0.100598  
146  73   1.038497  0.102731  
148  74   1.032874  0.104749  
150  75   1.034877  0.112707  
152  76   1.038902  0.106709  
154  77   1.032608  0.107621  
156  78   1.033315  0.107043  
158  79   1.037224  0.107201  
160  80   1.039445  0.108608  
162  81   1.035070  0.110677  
164  82   1.032434  0.110730  
166  83   1.034183  0.111972  
168  84   1.039016  0.112453  
170  85   1.038103  0.114816  
172  86   1.032351  0.113604  
174  87   1.040916  0.115782  
176  88   1.038071  0.113958  
178  89   1.045349  0.121346  
180  90   1.030452  0.117231  
182  91   1.036468  0.116931  
184  92   1.027157  0.117956  
186  93   1.025063  0.118994  
188  94   1.024340  0.119100  
190  95   1.023748  0.120056  
192  96   1.030630  0.121990  
194  97   1.020823  0.122067  
196  98   1.019172  0.121907  
198  99   1.019254  0.122114  
200  100  1.012834  0.124294  
