bgi(R,ITR) ----------------------------- 
capacity  load      query     
4    2    3.716490  0.255794  
6    3    2.946155  0.146962  
8    4    3.106149  0.150325  
10   5    3.323989  0.181212  
12   6    3.270153  0.176208  
14   7    3.544724  0.095017  
16   8    3.631338  0.103877  
18   9    4.031356  0.142907  
20   10   4.384577  0.142622  
22   11   4.476705  0.152903  
24   12   4.850835  0.138651  
26   13   4.946305  0.129113  
28   14   5.352113  0.122534  
30   15   5.654495  0.119336  
32   16   5.769136  0.104005  
34   17   6.437310  0.124192  
36   18   6.642324  0.125656  
38   19   7.082777  0.114454  
40   20   7.611190  0.133138  
42   21   7.525911  0.110875  
44   22   7.919869  0.121350  
46   23   7.915684  0.115668  
48   24   8.214297  0.112392  
50   25   8.510425  0.116410  
52   26   8.461917  0.111840  
54   27   8.788527  0.118057  
56   28   8.715638  0.116082  
58   29   8.985001  0.113701  
60   30   9.208828  0.106952  
62   31   9.096734  0.120977  
64   32   9.400174  0.116951  
66   33   9.260637  0.113879  
68   34   9.467281  0.116709  
70   35   9.632940  0.118635  
72   36   9.509976  0.112288  
74   37   9.760286  0.111209  
76   38   9.609119  0.118233  
78   39   9.653954  0.125297  
80   40   9.930672  0.117538  
82   41   9.896020  0.122155  
84   42   9.971128  0.123431  
86   43   9.954942  0.123360  
88   44   10.012001 0.118357  
90   45   10.148927 0.116808  
92   46   10.003753 0.117551  
94   47   10.274328 0.121984  
96   48   10.126278 0.124242  
98   49   10.266315 0.121863  
100  50   10.431197 0.136186  
102  51   10.167517 0.129154  
104  52   10.435282 0.131726  
106  53   10.430710 0.126419  
108  54   10.600748 0.127442  
110  55   10.608825 0.125589  
112  56   10.507260 0.123100  
114  57   10.695138 0.146837  
116  58   10.785551 0.124403  
118  59   10.815326 0.130494  
120  60   10.964468 0.130151  
122  61   10.782182 0.149897  
124  62   11.081463 0.145837  
126  63   10.778448 0.145969  
128  64   10.934500 0.150328  
130  65   11.064676 0.149401  
132  66   10.986042 0.146854  
134  67   11.118406 0.147467  
136  68   11.043613 0.145538  
138  69   11.018825 0.146191  
140  70   11.280374 0.145262  
142  71   11.041605 0.147575  
144  72   11.275967 0.145200  
146  73   11.178758 0.145397  
148  74   11.233535 0.152772  
150  75   11.353385 0.151340  
152  76   11.350171 0.150854  
154  77   11.302911 0.153089  
156  78   11.248260 0.168595  
158  79   11.444925 0.168012  
160  80   11.538932 0.175616  
162  81   11.636531 0.180663  
164  82   11.508414 0.166784  
166  83   11.608843 0.163506  
168  84   11.862983 0.168620  
170  85   11.823420 0.181871  
172  86   11.874040 0.171079  
174  87   12.124436 0.171083  
176  88   11.911029 0.179959  
178  89   12.279284 0.171233  
180  90   12.139531 0.173129  
182  91   11.986573 0.172797  
184  92   12.170960 0.166750  
186  93   12.251224 0.185964  
188  94   12.417258 0.186798  
190  95   12.348258 0.173282  
192  96   12.672507 0.180749  
194  97   12.412798 0.181359  
196  98   12.237732 0.177356  
198  99   12.617113 0.164439  
200  100  12.945377 0.168911  
