bgi(R,BLK) ----------------------------- 
capacity  load      query     
4    2    1.393755  0.064170  
6    3    1.305483  0.053811  
8    4    1.309994  0.050201  
10   5    1.244707  0.050990  
12   6    1.226986  0.052030  
14   7    1.238370  0.054708  
16   8    1.267838  0.052829  
18   9    1.209455  0.055811  
20   10   1.212318  0.056001  
22   11   1.193608  0.056334  
24   12   1.236052  0.057005  
26   13   1.181195  0.059346  
28   14   1.210764  0.060406  
30   15   1.206003  0.059974  
32   16   1.211399  0.056518  
34   17   1.179279  0.062097  
36   18   1.173653  0.059671  
38   19   1.166211  0.059759  
40   20   1.180984  0.058718  
42   21   1.152152  0.061480  
44   22   1.159491  0.063966  
46   23   1.149866  0.062566  
48   24   1.166100  0.065417  
50   25   1.162637  0.065214  
52   26   1.179583  0.067496  
54   27   1.154159  0.067836  
56   28   1.144663  0.067740  
58   29   1.160753  0.069932  
60   30   1.150441  0.077202  
62   31   1.146899  0.075665  
64   32   1.158940  0.078265  
66   33   1.177247  0.078997  
68   34   1.163218  0.080235  
70   35   1.127673  0.082095  
72   36   1.125282  0.080546  
74   37   1.136808  0.084131  
76   38   1.124142  0.081689  
78   39   1.136715  0.084293  
80   40   1.127747  0.088167  
82   41   1.139027  0.089509  
84   42   1.132391  0.088248  
86   43   1.155330  0.093723  
88   44   1.140120  0.089508  
90   45   1.139745  0.094730  
92   46   1.125539  0.093363  
94   47   1.132820  0.099777  
96   48   1.121699  0.092639  
98   49   1.115748  0.093905  
100  50   1.113398  0.096800  
102  51   1.112395  0.099472  
104  52   1.113222  0.098134  
106  53   1.098843  0.099562  
108  54   1.096696  0.097030  
110  55   1.103085  0.098537  
112  56   1.109968  0.100534  
114  57   1.101053  0.099295  
116  58   1.096111  0.099695  
118  59   1.099570  0.100402  
120  60   1.111588  0.106812  
122  61   1.150452  0.104903  
124  62   1.128954  0.094215  
126  63   1.171798  0.104673  
128  64   1.168232  0.101518  
130  65   1.150858  0.108688  
132  66   1.115484  0.109437  
134  67   1.129686  0.106785  
136  68   1.106049  0.096256  
138  69   1.102922  0.100230  
140  70   1.113057  0.100421  
142  71   1.099707  0.099188  
144  72   1.101701  0.100844  
146  73   1.089765  0.101158  
148  74   1.093415  0.102254  
150  75   1.083677  0.105770  
152  76   1.090749  0.102186  
154  77   1.080021  0.105021  
156  78   1.066436  0.103568  
158  79   1.092646  0.106443  
160  80   1.078212  0.108109  
162  81   1.088627  0.109750  
164  82   1.078303  0.110182  
166  83   1.078003  0.111310  
168  84   1.082923  0.115879  
170  85   1.086273  0.112126  
172  86   1.073830  0.115369  
174  87   1.080215  0.113725  
176  88   1.087643  0.115851  
178  89   1.099306  0.119542  
180  90   1.072171  0.113751  
182  91   1.090686  0.113632  
184  92   1.074267  0.118332  
186  93   1.078620  0.118127  
188  94   1.076539  0.123785  
190  95   1.069975  0.120312  
192  96   1.084042  0.118220  
194  97   1.072006  0.121334  
196  98   1.062814  0.124492  
198  99   1.067708  0.126075  
200  100  1.057864  0.124148  
