lsi(L,ITR) ----------------------------- 
capacity  load      query     
4    2    13.634569 16.790688 
6    3    13.100088 27.435612 
8    4    13.351699 19.246976 
10   5    13.331143 22.704354 
12   6    13.677523 27.837720 
14   7    14.183594 23.079995 
16   8    14.807816 30.617846 
18   9    15.325992 22.895684 
20   10   15.957143 38.166111 
22   11   16.283386 39.253949 
24   12   16.862714 29.337094 
26   13   16.866687 28.980240 
28   14   16.887156 25.433422 
30   15   17.093962 43.588474 
32   16   17.875572 35.968747 
34   17   18.431803 34.843885 
36   18   18.927957 41.563321 
38   19   19.391124 34.278073 
40   20   19.822851 38.911639 
42   21   19.508663 33.757890 
44   22   21.029378 40.003246 
46   23   20.583119 40.062607 
48   24   20.565194 44.895679 
50   25   21.380824 56.483126 
52   26   21.156783 44.944185 
54   27   21.396769 51.622956 
56   28   21.572397 48.177951 
58   29   21.802767 41.144298 
60   30   22.140782 45.964839 
62   31   23.153819 45.643195 
64   32   24.171156 52.557245 
66   33   25.214048 48.567859 
68   34   24.005824 50.073775 
70   35   24.461713 51.819738 
72   36   25.260147 53.990995 
74   37   24.925191 45.194534 
76   38   25.887119 44.181311 
78   39   26.102991 52.352795 
80   40   27.157596 61.493776 
82   41   27.886780 52.274430 
84   42   27.519860 72.127422 
86   43   27.842388 68.486857 
88   44   29.128049 64.074370 
90   45   29.800139 62.042672 
92   46   29.774498 60.638696 
94   47   30.710265 62.843983 
96   48   31.024003 65.365086 
98   49   31.234509 64.229783 
100  50   32.296986 64.051713 
102  51   32.755855 69.742742 
104  52   32.310341 72.204487 
106  53   33.013117 71.926100 
108  54   33.472152 57.304369 
110  55   33.430580 71.070828 
112  56   33.850487 79.990367 
114  57   34.668736 82.657421 
116  58   34.559546 63.762356 
118  59   35.242759 79.105210 
120  60   35.927891 93.630645 
122  61   36.234452 79.158742 
124  62   36.276780 74.679743 
126  63   36.265039 61.158771 
128  64   36.464266 77.712494 
130  65   36.461588 69.124223 
132  66   36.772336 80.032532 
134  67   37.988501 90.743855 
136  68   37.966167 94.449014 
138  69   39.490702 88.808887 
140  70   38.441164 80.093054 
142  71   38.034516 79.609891 
144  72   38.132106 93.918279 
146  73   39.481717 78.250312 
148  74   39.289150 90.657240 
150  75   38.898634 98.151355 
152  76   39.293070 99.619121 
154  77   39.299814 99.817186 
156  78   39.512357 71.616851 
158  79   39.438094 127.310231
160  80   40.470664 93.784629 
162  81   40.845990 98.652228 
164  82   40.503391 114.001557
166  83   41.009641 97.586126 
168  84   42.265434 82.603261 
170  85   41.160437 100.679917
172  86   41.014083 107.158680
174  87   40.106571 131.832984
176  88   41.698383 88.467310 
178  89   41.920231 92.345511 
180  90   41.474255 101.548712
182  91   43.692215 117.964734
184  92   43.196576 93.714788 
186  93   42.619073 95.837062 
188  94   44.713851 86.855596 
190  95   44.198945 112.073031
192  96   43.879146 86.678193 
194  97   44.008107 116.509497
196  98   44.208889 112.170786
198  99   44.690092 132.305794
200  100  46.020578 105.957680
