lsi(L,BLK) ----------------------------- 
capacity  load      query     
4    2    7.299464  2.451570  
6    3    6.635653  1.814529  
8    4    5.888148  1.458394  
10   5    5.759171  1.636253  
12   6    5.500010  1.571044  
14   7    5.436017  1.715646  
16   8    5.786710  1.625092  
18   9    5.346512  1.708641  
20   10   5.395681  1.703772  
22   11   5.484671  1.756194  
24   12   5.341181  1.786111  
26   13   5.299001  1.806224  
28   14   5.527343  1.907979  
30   15   5.288934  1.936986  
32   16   5.274585  1.975702  
34   17   5.873109  2.012560  
36   18   5.256375  2.016842  
38   19   5.291801  2.088630  
40   20   5.244815  2.054080  
42   21   5.250685  2.212709  
44   22   5.247473  2.262375  
46   23   5.241946  2.311771  
48   24   5.242396  2.388599  
50   25   5.750860  2.222379  
52   26   5.327461  2.483490  
54   27   5.395086  2.590678  
56   28   5.175193  2.520333  
58   29   5.150738  2.523028  
60   30   5.655791  2.743947  
62   31   5.204139  2.758747  
64   32   5.734869  2.727191  
66   33   5.175500  2.802486  
68   34   5.204621  2.800940  
70   35   5.189606  2.807750  
72   36   5.193110  2.885541  
74   37   5.159000  2.909098  
76   38   5.183432  2.889483  
78   39   5.174462  2.985258  
80   40   5.178155  2.973645  
82   41   5.257845  3.019032  
84   42   5.322498  2.978223  
86   43   5.362163  3.260089  
88   44   5.716547  3.106379  
90   45   5.147294  3.197368  
92   46   5.656001  3.240197  
94   47   5.102453  3.205186  
96   48   5.126529  3.374957  
98   49   5.184422  3.302660  
100  50   5.157699  3.432267  
102  51   5.123584  3.431541  
104  52   5.114899  3.554185  
106  53   5.701247  3.558934  
108  54   5.130558  3.643725  
110  55   5.151800  3.676462  
112  56   5.636819  3.690419  
114  57   5.296533  3.742379  
116  58   5.410751  3.790864  
118  59   5.096573  3.828569  
120  60   5.117908  3.880507  
122  61   5.093893  3.967591  
124  62   5.102301  4.104065  
126  63   5.102077  3.811332  
128  64   5.097776  3.955507  
130  65   5.089146  4.106372  
132  66   5.129487  4.154836  
134  67   5.834322  4.261292  
136  68   5.140413  4.216738  
138  69   5.675717  4.383467  
140  70   5.233593  4.550729  
142  71   5.820657  4.475514  
144  72   5.218363  4.489494  
146  73   5.444801  4.400017  
148  74   5.111075  4.586343  
150  75   5.135752  4.533923  
152  76   5.146290  4.579037  
154  77   5.147259  4.702180  
156  78   5.184124  4.826286  
158  79   5.173014  4.931949  
160  80   5.169772  5.550079  
162  81   5.178048  4.990694  
164  82   5.266823  5.124240  
166  83   5.772416  5.205406  
168  84   5.143695  5.048302  
170  85   5.690926  5.130671  
172  86   5.159941  5.119726  
174  87   5.684690  5.487412  
176  88   5.209185  5.226001  
178  89   5.403683  5.205242  
180  90   5.173483  5.334095  
182  91   5.893575  5.525280  
184  92   5.765579  5.434966  
186  93   5.154331  5.458801  
188  94   5.154288  5.719410  
190  95   5.148295  5.874860  
192  96   5.777187  5.736454  
194  97   5.178189  5.920090  
196  98   5.697646  5.867914  
198  99   5.144806  6.030492  
200  100  5.159467  5.754019  
