lsi(Q,ITR) ----------------------------- 
capacity  load      query     
4    2    15.509916 2.940053  
6    3    15.520475 6.243644  
8    4    15.963357 7.364895  
10   5    16.936403 5.934927  
12   6    18.196532 8.683129  
14   7    18.935247 6.467938  
16   8    19.558684 6.648143  
18   9    20.442606 5.339081  
20   10   20.942437 6.380909  
22   11   22.201175 6.262383  
24   12   22.943495 6.545252  
26   13   23.079773 7.467242  
28   14   23.653065 5.224604  
30   15   24.937766 6.177127  
32   16   26.904593 7.994063  
34   17   27.020812 6.610416  
36   18   27.907781 6.121937  
38   19   29.537168 6.491103  
40   20   29.881862 7.719552  
42   21   29.892654 6.468334  
44   22   30.552056 7.267998  
46   23   32.536726 7.704806  
48   24   31.602261 7.035919  
50   25   32.523103 6.645982  
52   26   35.918725 9.192911  
54   27   34.073538 8.230138  
56   28   35.183929 8.003847  
58   29   36.411322 7.387666  
60   30   35.924178 7.702462  
62   31   37.219414 8.128699  
64   32   40.850603 8.836298  
66   33   38.811981 7.478723  
68   34   41.019848 8.155941  
70   35   40.746042 6.777515  
72   36   42.149596 8.711287  
74   37   41.690853 9.920657  
76   38   43.331554 10.248647 
78   39   45.028816 8.547762  
80   40   44.465243 7.906619  
82   41   46.091746 7.894711  
84   42   47.111473 9.260250  
86   43   46.561986 9.631387  
88   44   47.325266 11.817504 
90   45   48.304414 11.522845 
92   46   49.329524 8.622341  
94   47   50.649593 9.886139  
96   48   51.554153 8.386222  
98   49   53.733187 9.933878  
100  50   53.180395 8.613234  
102  51   53.480950 10.585343 
104  52   54.863830 11.836555 
106  53   56.167773 10.118785 
108  54   56.008495 11.132944 
110  55   56.726761 9.650988  
112  56   58.658362 9.727494  
114  57   59.547996 8.729314  
116  58   60.197478 10.081244 
118  59   62.547730 7.984752  
120  60   62.611786 9.540959  
122  61   63.210880 9.539133  
124  62   63.199067 9.110467  
126  63   65.048079 9.564725  
128  64   65.177307 10.094525 
130  65   66.269210 10.183122 
132  66   65.922561 11.163907 
134  67   67.688962 10.322551 
136  68   67.601617 9.859212  
138  69   68.431585 11.661075 
140  70   68.589228 10.378918 
142  71   70.538240 10.202146 
144  72   76.052389 12.098467 
146  73   70.540039 11.394538 
148  74   73.247019 11.709110 
150  75   71.274247 11.538871 
152  76   72.970140 10.874691 
154  77   72.038646 11.573943 
156  78   74.180317 10.767992 
158  79   74.027104 11.696304 
160  80   75.034662 10.800436 
162  81   74.979124 13.589059 
164  82   76.927551 11.483988 
166  83   75.997167 11.736452 
168  84   76.960802 13.642073 
170  85   79.371900 12.377375 
172  86   83.770970 12.550874 
174  87   82.655333 12.047038 
176  88   81.477196 13.761169 
178  89   84.676601 14.088838 
180  90   86.409351 12.342870 
182  91   83.936259 12.462673 
184  92   82.822282 12.369762 
186  93   83.780682 12.903445 
188  94   85.775198 12.108672 
190  95   86.134069 11.213517 
192  96   84.970754 12.413107 
194  97   85.213477 12.127260 
196  98   87.170235 11.776963 
198  99   89.685826 13.608206 
200  100  87.926061 12.579272 
