lsi(Q,BLK) ----------------------------- 
capacity  load      query     
4    2    6.985771  2.328701  
6    3    5.971351  1.786357  
8    4    5.692616  1.486939  
10   5    5.588577  1.588414  
12   6    5.443509  1.544496  
14   7    5.379466  1.664528  
16   8    5.317415  1.582111  
18   9    5.287672  1.671138  
20   10   5.278605  1.660054  
22   11   5.271090  1.722147  
24   12   5.254501  1.755150  
26   13   5.482520  1.781400  
28   14   5.229129  1.888869  
30   15   5.416113  1.905143  
32   16   5.314091  1.918958  
34   17   5.239094  1.989089  
36   18   5.256201  1.986198  
38   19   5.189237  2.049874  
40   20   5.204889  2.018341  
42   21   5.194947  2.187579  
44   22   5.175438  2.208516  
46   23   5.179811  2.291885  
48   24   5.179543  2.336619  
50   25   5.175891  2.176228  
52   26   5.179361  2.427649  
54   27   5.178185  2.563616  
56   28   5.168736  2.515444  
58   29   5.173249  2.533721  
60   30   5.176081  2.751782  
62   31   5.180159  2.736073  
64   32   5.195405  2.678813  
66   33   5.172168  2.778499  
68   34   5.183107  2.790787  
70   35   5.179854  2.785961  
72   36   5.180512  2.868724  
74   37   5.180873  2.890316  
76   38   5.185761  2.890794  
78   39   5.177922  2.967160  
80   40   5.178504  2.965894  
82   41   5.187332  3.019882  
84   42   5.319060  2.970856  
86   43   5.209511  3.133652  
88   44   5.298475  3.114863  
90   45   5.187673  3.190406  
92   46   5.199481  3.252673  
94   47   5.226782  3.288423  
96   48   5.537777  3.398845  
98   49   5.207698  3.308199  
100  50   5.290521  3.490593  
102  51   5.749833  3.481817  
104  52   5.200914  3.588935  
106  53   5.280282  3.570711  
108  54   5.245392  3.702694  
110  55   5.286241  3.797112  
112  56   5.324353  3.754537  
114  57   5.209968  3.859177  
116  58   5.247021  3.831182  
118  59   5.195456  3.827371  
120  60   5.161259  3.896643  
122  61   5.214582  4.054782  
124  62   5.344584  4.213249  
126  63   5.300194  3.852938  
128  64   5.579763  3.990964  
130  65   5.177028  4.146051  
132  66   5.183931  4.208518  
134  67   5.278165  4.293059  
136  68   5.291978  4.249588  
138  69   5.321182  4.379525  
140  70   5.162057  4.488193  
142  71   5.215611  4.429503  
144  72   5.182447  4.419583  
146  73   5.215651  4.434378  
148  74   5.185315  4.625041  
150  75   5.238943  4.572791  
152  76   5.229346  4.587571  
154  77   5.210047  4.755953  
156  78   5.369704  4.813792  
158  79   5.179394  4.885592  
160  80   5.184679  5.527088  
162  81   5.157407  4.947752  
164  82   5.228457  5.040413  
166  83   5.191668  5.164883  
168  84   5.209458  5.050417  
170  85   5.163479  5.117398  
172  86   5.259333  5.067068  
174  87   5.165175  5.465517  
176  88   5.380899  5.157907  
178  89   5.166028  5.228470  
180  90   5.177504  5.233501  
182  91   5.645425  5.386810  
184  92   5.166754  5.425855  
186  93   5.331712  5.554935  
188  94   5.363532  6.123322  
190  95   5.202704  5.889339  
192  96   5.190097  5.744241  
194  97   5.839021  5.891453  
196  98   5.222040  5.869139  
198  99   5.261765  6.054713  
200  100  5.559301  5.782954  
