lsi(R,ITR) ----------------------------- 
capacity  load      query     
4    2    78.645209 8.050979  
6    3    58.939809 6.146489  
8    4    24.369983 1.839268  
10   5    25.711622 1.488292  
12   6    24.891318 1.877841  
14   7    26.968899 1.798507  
16   8    28.311625 1.685857  
18   9    28.719573 1.780531  
20   10   30.521468 1.725827  
22   11   30.586046 2.010383  
24   12   32.701984 2.061094  
26   13   34.361573 1.911659  
28   14   34.792952 1.991330  
30   15   36.244330 2.142095  
32   16   36.903153 2.187676  
34   17   39.462456 2.332167  
36   18   40.903004 2.559452  
38   19   40.924583 2.388966  
40   20   42.183754 2.406313  
42   21   42.123911 2.548881  
44   22   43.140299 2.838472  
46   23   44.510872 2.668744  
48   24   44.654670 2.849298  
50   25   46.089274 2.852391  
52   26   46.098796 2.834808  
54   27   47.185241 2.547076  
56   28   48.361412 2.727525  
58   29   48.655510 2.839835  
60   30   50.625982 2.745447  
62   31   50.077983 2.801424  
64   32   52.362649 2.994459  
66   33   53.250508 2.928381  
68   34   53.945644 3.186703  
70   35   55.752597 3.208328  
72   36   56.036086 3.142568  
74   37   56.465494 3.322786  
76   38   58.254115 3.250626  
78   39   59.082651 3.164381  
80   40   61.748628 3.463880  
82   41   62.467950 3.454855  
84   42   62.682343 3.636014  
86   43   64.413116 3.484216  
88   44   64.204019 3.698943  
90   45   65.642387 3.660521  
92   46   67.047193 3.645432  
94   47   68.303507 3.732044  
96   48   69.578541 3.644820  
98   49   69.697851 3.703842  
100  50   71.203943 4.035256  
102  51   71.286661 4.004061  
104  52   72.586623 4.088270  
106  53   73.509974 4.406644  
108  54   73.892271 4.359301  
110  55   73.682793 4.304344  
112  56   73.976620 4.266493  
114  57   75.167425 4.300608  
116  58   77.270276 4.310879  
118  59   78.921533 4.437240  
120  60   77.980232 4.297079  
122  61   79.016069 4.293973  
124  62   80.575466 4.416789  
126  63   80.775440 5.212809  
128  64   82.522051 5.428139  
130  65   83.595969 5.176717  
132  66   82.903810 5.409198  
134  67   83.389340 5.428713  
136  68   84.833293 5.228800  
138  69   84.850801 5.268611  
140  70   85.808587 5.291562  
142  71   85.127038 5.139959  
144  72   87.094137 5.239003  
146  73   87.933158 5.346702  
148  74   88.382561 5.344664  
150  75   88.616541 5.169183  
152  76   88.678266 5.326802  
154  77   90.285472 5.291009  
156  78   91.436282 5.531050  
158  79   91.732367 5.571095  
160  80   92.191171 5.482741  
162  81   91.826747 5.238839  
164  82   93.225984 5.388719  
166  83   96.321518 5.563612  
168  84   96.635822 5.671636  
170  85   95.955316 5.509879  
172  86   94.666014 5.254569  
174  87   97.141739 5.408813  
176  88   96.626368 5.438063  
178  89   99.300866 5.519688  
180  90   98.825850 5.504021  
182  91   101.0589315.535902  
184  92   101.3986965.608316  
186  93   103.1321715.756129  
188  94   104.0507135.861020  
190  95   103.9823735.961816  
192  96   104.3477845.830336  
194  97   105.0416755.715853  
196  98   107.7598856.041140  
198  99   106.8006585.664412  
200  100  107.3996595.652550  
