lsi(R,BLK) ----------------------------- 
capacity  load      query     
4    2    6.899344  2.457533  
6    3    6.047288  1.761891  
8    4    5.948237  1.550407  
10   5    5.672486  1.586481  
12   6    5.513575  1.551765  
14   7    5.350133  1.682322  
16   8    5.256474  1.571863  
18   9    5.235764  1.683322  
20   10   5.812325  1.631953  
22   11   5.330551  1.693618  
24   12   5.172145  1.731860  
26   13   5.671460  1.753214  
28   14   5.125987  1.855181  
30   15   5.264561  1.893965  
32   16   5.292348  1.920411  
34   17   5.424788  1.957868  
36   18   5.141877  1.963413  
38   19   5.205635  2.039497  
40   20   5.183680  2.108931  
42   21   5.887700  2.174599  
44   22   5.676525  2.196478  
46   23   5.284340  2.265790  
48   24   5.219970  2.340698  
50   25   5.238978  2.177372  
52   26   5.180495  2.467312  
54   27   5.842367  2.540307  
56   28   5.176623  2.513521  
58   29   5.682920  2.528860  
60   30   5.134280  2.730025  
62   31   5.312446  2.771251  
64   32   5.691864  2.665516  
66   33   5.253557  2.755800  
68   34   5.623884  2.767726  
70   35   5.265522  2.746110  
72   36   5.141612  2.833530  
74   37   5.252911  2.866458  
76   38   5.161983  2.870312  
78   39   5.485420  2.943970  
80   40   5.157657  2.925927  
82   41   5.347099  3.026129  
84   42   5.782291  2.933808  
86   43   5.256867  3.102370  
88   44   5.150903  3.100314  
90   45   5.255964  3.140811  
92   46   5.698378  3.236998  
94   47   5.650401  3.313161  
96   48   5.218926  3.390435  
98   49   5.304782  3.277913  
100  50   5.201404  3.479877  
102  51   5.821992  3.436061  
104  52   5.228732  3.580412  
106  53   5.361843  3.567007  
108  54   5.578048  3.677670  
110  55   5.683374  3.687016  
112  56   5.214181  3.718262  
114  57   5.748869  3.747025  
116  58   5.190839  3.822406  
118  59   5.348049  3.835899  
120  60   5.161715  3.942089  
122  61   5.391499  4.089618  
124  62   5.735950  4.214445  
126  63   5.785707  3.868195  
128  64   5.714600  3.966373  
130  65   5.277610  4.132858  
132  66   5.193241  4.204453  
134  67   5.275446  4.294678  
136  68   5.718121  4.222291  
138  69   5.269790  4.354862  
140  70   5.177065  4.455013  
142  71   5.269021  4.407043  
144  72   5.158304  4.450254  
146  73   5.825647  4.420855  
148  74   5.707248  4.571819  
150  75   5.261209  4.554676  
152  76   5.167626  4.564753  
154  77   5.264972  4.683916  
156  78   5.746131  4.788267  
158  79   5.276461  4.883796  
160  80   5.241853  5.537942  
162  81   5.491722  5.005176  
164  82   5.702300  5.062818  
166  83   5.800506  5.133161  
168  84   5.949137  5.068000  
170  85   5.374682  5.131295  
172  86   5.833916  5.255792  
174  87   6.075669  5.485345  
176  88   5.277211  5.452384  
178  89   5.837582  5.230399  
180  90   5.182642  5.279351  
182  91   5.810101  5.388883  
184  92   5.170921  5.436535  
186  93   5.826299  5.493887  
188  94   5.707947  5.705454  
190  95   5.664319  5.849689  
192  96   5.152956  5.695897  
194  97   5.286018  5.832380  
196  98   5.532157  5.969839  
198  99   5.377727  6.358875  
200  100  5.458615  5.720272  
