bgi(Q,BLK) ----------------------------- 
capacity  load      query     
4    2    1.456003  0.066405  
6    3    1.382453  0.056052  
8    4    1.380562  0.052350  
10   5    1.308677  0.052012  
12   6    1.302737  0.052766  
14   7    1.299792  0.055578  
16   8    1.335791  0.053193  
18   9    1.278232  0.054941  
20   10   1.283764  0.057445  
22   11   1.253643  0.057949  
24   12   1.294815  0.059557  
26   13   1.252726  0.060496  
28   14   1.265505  0.063137  
30   15   1.256627  0.062266  
32   16   1.274281  0.059874  
34   17   1.243352  0.062360  
36   18   1.229755  0.063428  
38   19   1.232009  0.063833  
40   20   1.254104  0.063295  
42   21   1.218652  0.064067  
44   22   1.216606  0.066682  
46   23   1.209970  0.066667  
48   24   1.225383  0.068024  
50   25   1.222593  0.069519  
52   26   1.245233  0.070680  
54   27   1.206165  0.072057  
56   28   1.207502  0.072536  
58   29   1.222233  0.073778  
60   30   1.203365  0.073852  
62   31   1.211828  0.075135  
64   32   1.233505  0.080786  
66   33   1.264642  0.076449  
68   34   1.240471  0.076767  
70   35   1.193888  0.081588  
72   36   1.211492  0.090630  
74   37   1.223995  0.085956  
76   38   1.218680  0.081468  
78   39   1.197526  0.083352  
80   40   1.195625  0.087217  
82   41   1.198200  0.088447  
84   42   1.198969  0.092741  
86   43   1.206277  0.089957  
88   44   1.212482  0.090826  
90   45   1.210123  0.093727  
92   46   1.191302  0.092733  
94   47   1.196087  0.092113  
96   48   1.187842  0.093340  
98   49   1.187907  0.094221  
100  50   1.169431  0.097133  
102  51   1.172130  0.099775  
104  52   1.163718  0.098304  
106  53   1.163224  0.100349  
108  54   1.157617  0.097919  
110  55   1.160595  0.098425  
112  56   1.167358  0.100367  
114  57   1.157099  0.098121  
116  58   1.162130  0.097051  
118  59   1.164172  0.094968  
120  60   1.161389  0.097190  
122  61   1.173094  0.093538  
124  62   1.171878  0.091271  
126  63   1.173852  0.091229  
128  64   1.178150  0.093205  
130  65   1.162705  0.095112  
132  66   1.159981  0.097083  
134  67   1.159131  0.098310  
136  68   1.160750  0.102007  
138  69   1.148461  0.102651  
140  70   1.150509  0.103896  
142  71   1.145987  0.107265  
144  72   1.150881  0.108608  
146  73   1.144695  0.108322  
148  74   1.138480  0.108688  
150  75   1.132024  0.113176  
152  76   1.137068  0.112462  
154  77   1.134645  0.113401  
156  78   1.136021  0.113769  
158  79   1.141845  0.117272  
160  80   1.140319  0.116183  
162  81   1.137040  0.115114  
164  82   1.136785  0.117123  
166  83   1.141820  0.121715  
168  84   1.143936  0.119247  
170  85   1.136692  0.120606  
172  86   1.138193  0.122134  
174  87   1.147066  0.122412  
176  88   1.142980  0.121216  
178  89   1.145517  0.124305  
180  90   1.136790  0.140815  
182  91   1.156171  0.142502  
184  92   1.142635  0.139961  
186  93   1.137308  0.143318  
188  94   1.139102  0.140510  
190  95   1.138006  0.144646  
192  96   1.132146  0.143890  
194  97   1.139116  0.147509  
196  98   1.146759  0.146866  
198  99   1.135897  0.148440  
200  100  1.135911  0.148106  
