lsi(Q,ITR) ----------------------------- 
capacity  load      query     
4    2    16.040384 3.210268  
6    3    16.174582 6.580223  
8    4    15.819658 7.434966  
10   5    16.613742 5.934263  
12   6    17.674909 8.454182  
14   7    18.951240 6.393995  
16   8    18.951391 6.665488  
18   9    20.255136 5.536110  
20   10   21.167984 6.543957  
22   11   22.384923 6.267993  
24   12   23.443534 6.901462  
26   13   23.375649 7.580034  
28   14   24.516138 5.573141  
30   15   25.741448 6.418726  
32   16   26.994965 8.024472  
34   17   27.487631 6.802761  
36   18   28.347365 6.240944  
38   19   29.509947 6.593070  
40   20   30.639177 7.918193  
42   21   30.361001 6.643724  
44   22   31.151429 7.402924  
46   23   33.790150 7.866685  
48   24   32.597823 7.254878  
50   25   33.292293 6.727749  
52   26   36.868133 9.439784  
54   27   35.284148 8.515136  
56   28   35.131080 8.137387  
58   29   37.413645 7.386012  
60   30   36.261443 7.896325  
62   31   38.176418 8.365910  
64   32   41.135014 9.197859  
66   33   40.276695 7.814908  
68   34   40.717347 8.238413  
70   35   42.033146 6.809075  
72   36   42.579205 8.919300  
74   37   43.297748 10.016377 
76   38   43.466470 10.749744 
78   39   46.072142 8.801181  
80   40   46.695211 8.413802  
82   41   48.527061 8.409478  
84   42   47.969135 9.755071  
86   43   49.807864 10.118189 
88   44   48.978872 12.055496 
90   45   50.224006 11.936305 
92   46   52.798708 9.460666  
94   47   54.287288 10.296571 
96   48   54.239654 8.890582  
98   49   55.589117 10.314024 
100  50   55.015222 8.833769  
102  51   56.088265 11.355171 
104  52   57.520709 12.623280 
106  53   57.994744 10.770926 
108  54   58.160310 11.635163 
110  55   59.382371 9.960751  
112  56   59.301273 9.719768  
114  57   59.224848 8.995973  
116  58   61.067073 10.519253 
118  59   62.682832 7.999868  
120  60   62.374303 9.652007  
122  61   65.637080 9.747794  
124  62   66.013520 9.150475  
126  63   66.116070 9.770988  
128  64   64.795783 10.200935 
130  65   67.728996 10.191551 
132  66   67.543951 11.281011 
134  67   69.025074 10.460935 
136  68   68.032438 9.853142  
138  69   69.403672 11.659636 
140  70   69.599810 10.114941 
142  71   71.427055 10.412250 
144  72   77.025526 12.134186 
146  73   70.288471 11.229331 
148  74   72.162131 11.572862 
150  75   72.024778 11.741473 
152  76   72.941958 10.878158 
154  77   73.672747 11.563917 
156  78   75.831952 10.822037 
158  79   74.546411 11.814214 
160  80   77.451844 10.878539 
162  81   78.139990 13.744969 
164  82   77.705467 11.590812 
166  83   77.584399 11.948633 
168  84   77.936156 13.966120 
170  85   79.653216 12.372269 
172  86   84.459081 12.702969 
174  87   82.539406 11.928063 
176  88   80.418948 13.641362 
178  89   83.298095 13.948907 
180  90   86.066384 12.438352 
182  91   81.944714 12.284965 
184  92   82.996207 12.376615 
186  93   83.539079 12.978176 
188  94   84.589560 12.175698 
190  95   85.994291 11.700562 
192  96   86.305784 12.322692 
194  97   85.750541 11.685063 
196  98   88.404909 11.813598 
198  99   90.066446 13.940210 
200  100  90.148127 12.630011 
