lsi(R,ITR) ----------------------------- 
capacity  load      query     
4    2    79.598077 7.954981  
6    3    59.538167 6.322990  
8    4    24.854758 1.826932  
10   5    25.734341 1.527043  
12   6    25.167276 1.889076  
14   7    26.952692 1.807687  
16   8    28.896286 1.738528  
18   9    29.883482 1.792454  
20   10   30.783111 1.748502  
22   11   31.017577 1.918211  
24   12   31.491810 1.994493  
26   13   34.349368 1.857396  
28   14   34.393851 2.019072  
30   15   36.150443 2.122994  
32   16   35.654361 2.041643  
34   17   37.633928 2.169062  
36   18   38.785230 2.451812  
38   19   38.281862 2.233051  
40   20   40.649910 2.389729  
42   21   41.847855 2.556124  
44   22   42.084956 2.731931  
46   23   43.674042 2.686229  
48   24   44.655050 2.824840  
50   25   45.687132 2.855534  
52   26   45.522074 2.821320  
54   27   46.043577 2.487723  
56   28   48.208666 2.756070  
58   29   48.452350 2.799916  
60   30   50.866950 2.823916  
62   31   51.522838 2.914634  
64   32   52.414771 3.040236  
66   33   54.017229 2.945651  
68   34   53.092719 3.055875  
70   35   56.027099 3.130821  
72   36   55.586151 3.152279  
74   37   57.190221 3.324731  
76   38   58.726059 3.285184  
78   39   59.860974 3.208477  
80   40   62.095526 3.517759  
82   41   61.583023 3.367575  
84   42   61.764221 3.672186  
86   43   65.185477 3.570308  
88   44   64.407839 3.601176  
90   45   65.724342 3.660505  
92   46   66.218590 3.628492  
94   47   65.338248 3.601814  
96   48   68.249573 3.669889  
98   49   68.275836 3.549863  
100  50   69.532105 3.975666  
102  51   70.687382 4.003550  
104  52   70.864664 3.942115  
106  53   72.842872 4.398358  
108  54   73.301912 4.206129  
110  55   73.711097 4.344121  
112  56   73.060410 4.230592  
114  57   74.847339 4.284965  
116  58   77.649691 4.194680  
118  59   78.796350 4.437035  
120  60   77.847338 4.193755  
122  61   79.011929 4.244960  
124  62   80.613588 4.323986  
126  63   81.968209 5.299320  
128  64   81.934152 5.313831  
130  65   82.499391 5.164290  
132  66   83.543402 5.401168  
134  67   84.381706 5.401554  
136  68   85.364340 5.328141  
138  69   84.744263 5.299678  
140  70   85.589345 5.287401  
142  71   85.974236 5.204696  
144  72   86.547241 5.231526  
146  73   88.222952 5.400136  
148  74   89.255533 5.353451  
150  75   87.616711 5.134309  
152  76   87.131831 5.262522  
154  77   90.689164 5.365727  
156  78   91.523242 5.494771  
158  79   91.190279 5.555939  
160  80   92.771061 5.572486  
162  81   93.136729 5.352187  
164  82   93.002917 5.246555  
166  83   94.583892 5.475560  
168  84   94.993383 5.467706  
170  85   96.364409 5.603464  
172  86   97.116261 5.393433  
174  87   97.464097 5.560457  
176  88   99.077375 5.430457  
178  89   99.317297 5.581091  
180  90   98.378381 5.410673  
182  91   99.471080 5.562050  
184  92   100.1074675.634736  
186  93   102.4767785.725679  
188  94   103.0876175.697840  
190  95   104.1316585.883141  
192  96   104.5277165.903230  
194  97   103.6064005.684716  
196  98   106.1853726.004029  
198  99   105.8919025.659413  
200  100  107.2960375.647985  
