bgi(L,ITR) ----------------------------- 
capacity  load      query     
4    2    1.450958  1.338424  
6    3    1.203885  1.731174  
8    4    1.116287  1.621416  
10   5    1.077351  1.709984  
12   6    1.060911  1.499446  
14   7    1.124238  1.494776  
16   8    1.100487  1.872703  
18   9    1.087297  1.570040  
20   10   1.132558  1.717491  
22   11   1.157733  1.598585  
24   12   1.164033  1.641682  
26   13   1.153308  1.725597  
28   14   1.193715  1.625762  
30   15   1.190367  2.310373  
32   16   1.285847  1.457088  
34   17   1.296601  1.736704  
36   18   1.324990  1.403785  
38   19   1.345580  1.779365  
40   20   1.357678  1.568546  
42   21   1.366910  1.378288  
44   22   1.408800  1.425282  
46   23   1.389558  1.804228  
48   24   1.425396  1.493497  
50   25   1.402919  1.774474  
52   26   1.436188  1.646059  
54   27   1.457687  1.902717  
56   28   1.492415  1.636130  
58   29   1.471054  1.889726  
60   30   1.521187  1.467035  
62   31   1.581413  1.522923  
64   32   1.560103  1.746096  
66   33   1.613970  1.574908  
68   34   1.619076  1.393093  
70   35   1.612349  2.140490  
72   36   1.669514  1.690111  
74   37   1.684089  1.717531  
76   38   1.728105  1.566389  
78   39   1.721227  1.734667  
80   40   1.752402  1.712041  
82   41   1.792413  1.751300  
84   42   1.805365  2.069800  
86   43   1.832034  2.202732  
88   44   1.849762  1.789907  
90   45   1.840773  2.170467  
92   46   1.873367  2.203971  
94   47   1.954935  1.899615  
96   48   1.911757  2.323550  
98   49   1.924518  2.114701  
100  50   2.046442  1.672974  
102  51   2.033793  1.649106  
104  52   2.017755  2.078827  
106  53   2.044510  2.122777  
108  54   2.087114  1.822135  
110  55   2.061572  2.049700  
112  56   2.064829  2.286370  
114  57   2.124403  2.608272  
116  58   2.156297  2.090831  
118  59   2.188898  1.924997  
120  60   2.132018  1.842915  
122  61   2.182910  2.156344  
124  62   2.174563  2.072547  
126  63   2.202619  2.068290  
128  64   2.157645  3.137856  
130  65   2.264714  2.071294  
132  66   2.303495  1.780891  
134  67   2.241504  2.630869  
136  68   2.278213  2.679318  
138  69   2.264355  2.136575  
140  70   2.290190  2.185572  
142  71   2.275516  2.400735  
144  72   2.316065  2.039199  
146  73   2.275807  1.897216  
148  74   2.248435  2.223572  
150  75   2.239050  2.163999  
152  76   2.233020  2.430378  
154  77   2.246210  2.359198  
156  78   2.272666  2.060722  
158  79   2.215812  2.777095  
160  80   2.252302  2.268121  
162  81   2.279469  2.443304  
164  82   2.226199  2.011663  
166  83   2.284996  2.042674  
168  84   2.313358  2.453234  
170  85   2.280577  2.840463  
172  86   2.228967  2.720196  
174  87   2.278010  2.320841  
176  88   2.283233  2.090246  
178  89   2.243099  2.002581  
180  90   2.243332  2.323935  
182  91   2.291099  2.206615  
184  92   2.246283  2.302744  
186  93   2.283873  2.214185  
188  94   2.297442  2.135794  
190  95   2.273464  2.687888  
192  96   2.330092  2.020195  
194  97   2.269512  3.030402  
196  98   2.287484  2.572323  
198  99   2.308886  2.467212  
200  100  2.286018  2.943572  
