bgi(L,BLK) ----------------------------- 
capacity  load      query     
4    2    1.468961  0.080770  
6    3    1.410026  0.066785  
8    4    1.416536  0.059830  
10   5    1.334616  0.061707  
12   6    1.325788  0.059805  
14   7    1.327367  0.062572  
16   8    1.356968  0.060844  
18   9    1.304472  0.063949  
20   10   1.292724  0.065428  
22   11   1.274049  0.065995  
24   12   1.318793  0.066323  
26   13   1.268012  0.068503  
28   14   1.293652  0.071223  
30   15   1.292096  0.070188  
32   16   1.287552  0.067375  
34   17   1.264034  0.069924  
36   18   1.254128  0.071504  
38   19   1.252895  0.071711  
40   20   1.265328  0.070323  
42   21   1.244910  0.075142  
44   22   1.292501  0.071599  
46   23   1.227827  0.074267  
48   24   1.253311  0.075880  
50   25   1.286051  0.076843  
52   26   1.237817  0.070988  
54   27   1.208356  0.070109  
56   28   1.197669  0.071545  
58   29   1.208092  0.070649  
60   30   1.200404  0.073220  
62   31   1.210392  0.074252  
64   32   1.232541  0.074909  
66   33   1.235912  0.077755  
68   34   1.231995  0.076306  
70   35   1.190988  0.079481  
72   36   1.188504  0.079341  
74   37   1.207445  0.081589  
76   38   1.196359  0.081084  
78   39   1.203755  0.088880  
80   40   1.202498  0.086224  
82   41   1.199212  0.087033  
84   42   1.198156  0.087552  
86   43   1.198755  0.088506  
88   44   1.215962  0.088782  
90   45   1.225525  0.093109  
92   46   1.208837  0.090591  
94   47   1.201047  0.093474  
96   48   1.194242  0.090689  
98   49   1.181250  0.092203  
100  50   1.166331  0.094934  
102  51   1.171533  0.097422  
104  52   1.171060  0.099476  
106  53   1.163815  0.098131  
108  54   1.177510  0.108093  
110  55   1.198455  0.106998  
112  56   1.176881  0.106321  
114  57   1.178554  0.109108  
116  58   1.168913  0.104839  
118  59   1.185435  0.104704  
120  60   1.192908  0.119814  
122  61   1.230274  0.103114  
124  62   1.371498  0.093046  
126  63   1.172699  0.090218  
128  64   1.176098  0.095094  
130  65   1.173272  0.094463  
132  66   1.175125  0.096718  
134  67   1.161996  0.097918  
136  68   1.158415  0.099613  
138  69   1.150097  0.102656  
140  70   1.161571  0.102774  
142  71   1.148545  0.105192  
144  72   1.154562  0.104647  
146  73   1.141741  0.107408  
148  74   1.139639  0.108725  
150  75   1.143383  0.109706  
152  76   1.154674  0.121332  
154  77   1.152325  0.123471  
156  78   1.141542  0.112123  
158  79   1.142061  0.118069  
160  80   1.153002  0.126963  
162  81   1.156928  0.129261  
164  82   1.146835  0.129635  
166  83   1.153827  0.130668  
168  84   1.162150  0.129220  
170  85   1.140434  0.135848  
172  86   1.160751  0.132830  
174  87   1.152306  0.132977  
176  88   1.159723  0.133766  
178  89   1.158915  0.136171  
180  90   1.149754  0.124303  
182  91   1.145934  0.125387  
184  92   1.128995  0.122500  
186  93   1.123104  0.129357  
188  94   1.129661  0.126342  
190  95   1.125641  0.128901  
192  96   1.138422  0.127085  
194  97   1.124604  0.131307  
196  98   1.124932  0.129585  
198  99   1.125503  0.131836  
200  100  1.118009  0.129442  
