bgi(R,ITR) ----------------------------- 
capacity  load      query     
4    2    3.587833  0.228547  
6    3    2.972042  0.137287  
8    4    3.382335  0.139458  
10   5    4.014576  0.195935  
12   6    4.348847  0.184347  
14   7    5.071633  0.102921  
16   8    5.623204  0.095786  
18   9    6.758845  0.126205  
20   10   8.037869  0.151776  
22   11   8.920998  0.167756  
24   12   10.279086 0.152256  
26   13   11.163829 0.142093  
28   14   12.701635 0.131065  
30   15   14.261168 0.129469  
32   16   15.059403 0.113546  
34   17   18.258060 0.132645  
36   18   20.224718 0.138673  
38   19   22.148699 0.123822  
40   20   25.201305 0.163857  
42   21   25.777679 0.123205  
44   22   28.179966 0.137113  
46   23   29.373465 0.146194  
48   24   30.701652 0.146205  
50   25   32.038461 0.136437  
52   26   32.725170 0.137793  
54   27   34.249338 0.145007  
56   28   34.957995 0.132759  
58   29   36.133333 0.133071  
60   30   37.446996 0.129852  
62   31   38.026014 0.128394  
64   32   38.747504 0.125232  
66   33   39.591712 0.144880  
68   34   40.917997 0.140098  
70   35   41.977774 0.151300  
72   36   42.245280 0.137693  
74   37   43.441812 0.138089  
76   38   43.526301 0.144087  
78   39   43.474470 0.128037  
80   40   44.481405 0.139326  
82   41   45.721345 0.139838  
84   42   46.121020 0.144328  
86   43   46.792856 0.143825  
88   44   47.301963 0.140178  
90   45   49.093974 0.143873  
92   46   48.481348 0.142561  
94   47   50.359052 0.146746  
96   48   50.368991 0.148148  
98   49   50.602154 0.146169  
100  50   53.031076 0.158253  
102  51   52.836091 0.154699  
104  52   53.803399 0.154984  
106  53   53.141854 0.131934  
108  54   54.303397 0.150499  
110  55   55.820132 0.147296  
112  56   54.837688 0.143002  
114  57   56.876283 0.152091  
116  58   57.035013 0.150001  
118  59   57.921840 0.132926  
120  60   58.050423 0.158590  
122  61   58.686761 0.176816  
124  62   60.071808 0.164708  
126  63   60.268547 0.152144  
128  64   60.030746 0.169219  
130  65   60.226548 0.168585  
132  66   61.957835 0.163422  
134  67   61.558842 0.145994  
136  68   63.084055 0.163946  
138  69   62.883414 0.167083  
140  70   65.411809 0.149703  
142  71   65.177271 0.169680  
144  72   66.730840 0.154577  
146  73   65.988077 0.147430  
148  74   64.464742 0.151052  
150  75   65.701375 0.156876  
152  76   66.536194 0.153104  
154  77   67.387119 0.171253  
156  78   67.489206 0.153085  
158  79   69.514155 0.173202  
160  80   70.055431 0.180156  
162  81   71.725375 0.158655  
164  82   69.169435 0.156066  
166  83   68.801693 0.172297  
168  84   71.847795 0.174899  
170  85   73.578630 0.183949  
172  86   72.380734 0.157652  
174  87   75.393773 0.163125  
176  88   76.028127 0.154322  
178  89   80.731147 0.165447  
180  90   80.688467 0.233244  
182  91   80.882703 0.178960  
184  92   75.850358 0.158121  
186  93   77.417819 0.184892  
188  94   77.462205 0.163083  
190  95   76.456115 0.175197  
192  96   79.878399 0.178129  
194  97   78.635968 0.179389  
196  98   79.984378 0.187309  
198  99   79.659825 0.188401  
200  100  80.294809 0.173472  
