bgi(R,BLK) ----------------------------- 
capacity  load      query     
4    2    1.465688  0.066457  
6    3    1.400643  0.057554  
8    4    1.389825  0.053743  
10   5    1.313854  0.052581  
12   6    1.307441  0.055751  
14   7    1.304851  0.056561  
16   8    1.331797  0.052827  
18   9    1.275027  0.057698  
20   10   1.275429  0.056882  
22   11   1.256350  0.057931  
24   12   1.298269  0.059501  
26   13   1.254937  0.060722  
28   14   1.270594  0.062027  
30   15   1.260594  0.064495  
32   16   1.269981  0.059627  
34   17   1.241371  0.061701  
36   18   1.230061  0.062016  
38   19   1.234782  0.062535  
40   20   1.250023  0.061292  
42   21   1.221327  0.062366  
44   22   1.209865  0.064956  
46   23   1.211642  0.065224  
48   24   1.224938  0.066069  
50   25   1.216253  0.070184  
52   26   1.240648  0.069070  
54   27   1.198065  0.070419  
56   28   1.190321  0.069427  
58   29   1.207948  0.072099  
60   30   1.199393  0.072650  
62   31   1.211071  0.073124  
64   32   1.223246  0.075862  
66   33   1.239369  0.074890  
68   34   1.231773  0.075635  
70   35   1.193246  0.078712  
72   36   1.199327  0.080151  
74   37   1.203481  0.079442  
76   38   1.196799  0.079559  
78   39   1.189486  0.082083  
80   40   1.192106  0.085667  
82   41   1.200430  0.087073  
84   42   1.193452  0.086385  
86   43   1.210621  0.089708  
88   44   1.215892  0.087708  
90   45   1.196620  0.089426  
92   46   1.192760  0.090468  
94   47   1.190236  0.090416  
96   48   1.183415  0.090081  
98   49   1.180073  0.091020  
100  50   1.170748  0.095699  
102  51   1.170384  0.095116  
104  52   1.165362  0.095712  
106  53   1.157845  0.098682  
108  54   1.173633  0.105382  
110  55   1.159935  0.094786  
112  56   1.159633  0.094856  
114  57   1.158847  0.096547  
116  58   1.156819  0.094445  
118  59   1.161043  0.094440  
120  60   1.164373  0.092925  
122  61   1.172884  0.093396  
124  62   1.172399  0.090945  
126  63   1.171651  0.090299  
128  64   1.168008  0.089843  
130  65   1.170701  0.095011  
132  66   1.156521  0.095044  
134  67   1.157420  0.096675  
136  68   1.152004  0.100494  
138  69   1.152596  0.102150  
140  70   1.183999  0.122939  
142  71   1.174396  0.121741  
144  72   1.194781  0.120794  
146  73   1.183771  0.121620  
148  74   1.179753  0.120574  
150  75   1.183598  0.125303  
152  76   1.178754  0.127127  
154  77   1.208946  0.126971  
156  78   1.193820  0.128849  
158  79   1.187521  0.128472  
160  80   1.171011  0.129615  
162  81   1.174218  0.131168  
164  82   1.162953  0.129198  
166  83   1.163462  0.134019  
168  84   1.167394  0.132258  
170  85   1.158643  0.130689  
172  86   1.154937  0.138476  
174  87   1.180375  0.136236  
176  88   1.148937  0.120083  
178  89   1.154348  0.120753  
180  90   1.139827  0.122662  
182  91   1.147337  0.120059  
184  92   1.140138  0.124594  
186  93   1.130902  0.122664  
188  94   1.133674  0.125467  
190  95   1.127806  0.125043  
192  96   1.134457  0.125472  
194  97   1.144533  0.146623  
196  98   1.155504  0.147590  
198  99   1.158981  0.142853  
200  100  1.158351  0.148204  
