lsi(L,ITR) ----------------------------- 
capacity  load      query     
4    2    14.500422 16.995602 
6    3    13.330117 27.499602 
8    4    13.638728 19.681967 
10   5    13.638323 22.258306 
12   6    14.128633 27.484733 
14   7    14.516855 23.663796 
16   8    14.571155 30.285795 
18   9    14.965637 22.693425 
20   10   15.671487 36.553080 
22   11   15.763645 39.102006 
24   12   16.266946 29.448768 
26   13   17.404635 29.525380 
28   14   17.403720 25.284653 
30   15   17.899968 44.527702 
32   16   18.462594 37.259588 
34   17   18.831235 35.499855 
36   18   19.327759 41.761796 
38   19   20.402133 34.769559 
40   20   20.505166 39.200033 
42   21   20.395994 33.861951 
44   22   21.402584 40.708551 
46   23   21.451369 40.740255 
48   24   21.907922 46.430633 
50   25   21.076163 55.597300 
52   26   21.337861 44.802060 
54   27   21.786065 50.150947 
56   28   23.458807 46.653559 
58   29   22.849513 42.150267 
60   30   23.292896 47.677510 
62   31   24.239850 47.425679 
64   32   24.229402 52.917034 
66   33   25.589727 48.619005 
68   34   25.130001 51.338620 
70   35   25.874421 54.337050 
72   36   26.477299 56.618782 
74   37   26.631485 46.774450 
76   38   26.876136 45.721415 
78   39   28.539270 55.580113 
80   40   28.342030 64.399725 
82   41   28.766519 55.267838 
84   42   29.325351 75.492373 
86   43   29.460014 72.392017 
88   44   30.599082 65.986178 
90   45   30.718877 64.129433 
92   46   31.027842 61.469918 
94   47   31.105808 63.728696 
96   48   32.471202 66.666097 
98   49   31.649776 65.348505 
100  50   33.157115 66.872910 
102  51   32.858069 70.755463 
104  52   32.736027 75.520111 
106  53   33.442997 73.413262 
108  54   34.432176 58.344845 
110  55   34.826398 71.719026 
112  56   34.526975 79.762231 
114  57   34.622453 83.376968 
116  58   35.262070 64.522692 
118  59   36.978592 79.833964 
120  60   36.008531 91.666503 
122  61   36.218190 78.726145 
124  62   36.985787 75.614018 
126  63   36.283023 61.104325 
128  64   36.904490 80.072209 
130  65   37.798499 69.687548 
132  66   37.977362 80.930699 
134  67   39.893992 93.220776 
136  68   38.715554 96.802004 
138  69   39.524673 88.555699 
140  70   40.065888 77.858113 
142  71   38.709986 79.245066 
144  72   38.799092 90.491616 
146  73   38.514572 74.623422 
148  74   38.580295 89.865878 
150  75   38.393681 96.823150 
152  76   39.424286 101.099371
154  77   40.880960 100.322742
156  78   39.803477 72.514954 
158  79   40.248430 126.220495
160  80   40.964883 92.443301 
162  81   41.416353 99.208439 
164  82   40.481610 114.543552
166  83   39.994302 97.054564 
168  84   42.762250 83.601308 
170  85   41.299486 100.104937
172  86   40.702148 107.400145
174  87   40.779354 133.780922
176  88   42.018733 89.905619 
178  89   42.909571 92.504670 
180  90   41.406129 102.418573
182  91   44.636732 119.981988
184  92   44.299450 94.116345 
186  93   43.656589 96.056887 
188  94   44.312260 88.552299 
190  95   43.484574 115.048293
192  96   44.724548 89.084110 
194  97   44.056528 117.888545
196  98   44.577705 113.841695
198  99   45.535039 133.197519
200  100  45.745926 107.152367
