lsi(L,BLK) ----------------------------- 
capacity  load      query     
4    2    6.848435  2.247040  
6    3    5.899712  1.750552  
8    4    5.588487  1.415897  
10   5    5.516026  1.576635  
12   6    5.353983  1.531315  
14   7    5.357520  1.626940  
16   8    5.372391  1.586821  
18   9    5.319752  1.637184  
20   10   5.202889  1.636926  
22   11   5.272227  1.718814  
24   12   5.418732  1.744634  
26   13   5.184348  1.804413  
28   14   5.727421  1.867555  
30   15   5.145668  1.924479  
32   16   5.777876  1.926986  
34   17   5.136164  1.949210  
36   18   5.395094  2.038125  
38   19   5.343896  2.068777  
40   20   5.822992  2.007661  
42   21   5.221792  2.163976  
44   22   5.127194  2.211196  
46   23   5.498906  2.259904  
48   24   5.088524  2.329412  
50   25   5.368837  2.138501  
52   26   5.122501  2.432560  
54   27   5.111010  2.593414  
56   28   5.630308  2.504647  
58   29   5.667810  2.497358  
60   30   5.102223  2.716912  
62   31   5.077434  2.684077  
64   32   5.380802  2.668315  
66   33   5.085460  2.801572  
68   34   5.158899  2.801662  
70   35   5.077822  2.741153  
72   36   5.162676  2.891848  
74   37   5.170449  2.924176  
76   38   5.101896  2.911784  
78   39   5.095539  2.888365  
80   40   5.073257  2.992900  
82   41   5.667376  2.954167  
84   42   5.075781  2.887605  
86   43   5.605842  3.094091  
88   44   5.332822  3.137073  
90   45   5.102405  3.110474  
92   46   5.080403  3.262992  
94   47   5.070283  3.211417  
96   48   5.061199  3.343833  
98   49   5.077709  3.236265  
100  50   5.529440  3.353039  
102  51   5.058209  3.416513  
104  52   5.645824  3.503499  
106  53   5.369770  3.556756  
108  54   5.096835  3.682925  
110  55   5.081192  3.662315  
112  56   5.614272  3.715456  
114  57   5.801445  3.768697  
116  58   5.094170  3.773757  
118  59   5.091353  3.834865  
120  60   5.094945  3.934828  
122  61   5.087747  3.968257  
124  62   5.091191  4.086214  
126  63   5.543659  3.866577  
128  64   5.074555  3.963956  
130  65   5.092293  4.091173  
132  66   5.076733  4.147803  
134  67   5.127629  4.268719  
136  68   5.135263  4.262787  
138  69   5.480527  4.390197  
140  70   5.127226  4.439838  
142  71   5.315945  4.601522  
144  72   5.135285  4.411087  
146  73   5.125800  4.469263  
148  74   5.117568  4.646306  
150  75   5.129963  4.670288  
152  76   5.138387  4.757861  
154  77   5.126352  4.700991  
156  78   5.226900  4.841025  
158  79   5.129848  4.938305  
160  80   5.124945  5.509930  
162  81   5.116715  4.988753  
164  82   5.104551  4.935023  
166  83   5.124454  5.063805  
168  84   5.107696  5.060620  
170  85   5.122195  5.180088  
172  86   5.150161  5.139795  
174  87   5.118288  5.490006  
176  88   5.111976  5.190593  
178  89   5.143266  5.260763  
180  90   5.687313  5.258568  
182  91   5.129259  5.365662  
184  92   5.123683  5.441824  
186  93   5.384626  5.478543  
188  94   5.128338  5.623024  
190  95   5.129581  5.850321  
192  96   5.141973  5.729583  
194  97   5.670456  5.901040  
196  98   5.139871  5.887517  
198  99   5.116863  6.041419  
200  100  5.092826  5.684851  
